Question Title,Question Description,Examples,Question Title Plus Description,Similar Questions Titles,Similar Questions Links,Array,Hash Table,Linked List,Math,Two Pointers,String,Binary Search,Divide and Conquer,Dynamic Programming,Backtracking,Stack,Heap,Greedy,Sort,Bit Manipulation,Tree,Depth-first Search,Breadth-first Search,Union Find,Graph,Design,Topological Sort,Trie,Binary Indexed Tree,Segment Tree,Binary Search Tree,Recursion,Memoization,Queue,Minimax,Map,Random,Sliding Window,Searching,Unnamed: 40,Unnamed: 41
Max sum path in two arrays,"Given two sorted arrays A and B. The task is to complete the function max_path_sum that takes 4 argument, the first two arguments represent the 2 arrays A[] and B[] and the last two arguments l1, l2 denote the size of array A and B respectively. The function returns the sum of the maximum sum path to reach from beginning of any array to end of any of the two arrays .
Note: You can switch from one array to another array only at common elements.
","Example:
2
5 4
2 3 7 10 12
1 5 7 8 
3 3
1 2 4
1 2 7
Output
35 
10
Explanation:
Testcase 1: For first test case the path will be 1+5+7+10+12 = 35.
Testcase 2: For second test case the path will be 1+2 +7=10.

Note:The Input/Ouput format and Example given are used for system's internal purpose, and should be used by a user for Expected Output only. As it is a function problem, hence a user should not read any input from stdin/console. The task is to complete the function specified, and not to write the full code.
","Max sum path in two arrays Given two sorted arrays A and B. The task is to complete the function max_path_sum that takes 4 argument, the first two arguments represent the 2 arrays A[] and B[] and the last two arguments l1, l2 denote the size of array A and B respectively. The function returns the sum of the maximum sum path to reach from beginning of any array to end of any of the two arrays .
Note: You can switch from one array to another array only at common elements.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Maximum repeating number,"Given an array A of size N, the array contains numbers in range from 0 to k-1 where k is a positive integer and k <= N. Find the maximum repeating number in this array. If there are two or more maximum repeating numbers print the element having least value.
","Example:
Input:
2
4 3
2 2 1 2
6 3
2 2 1 0 0 1
Output:
2
0
Explanation:
Testcase1: 2 is the most frequent element.
Testcase2: 0 1 and 2 all have same frequency of 2. But since 0 is smallest, we print that.
","Maximum repeating number Given an array A of size N, the array contains numbers in range from 0 to k-1 where k is a positive integer and k <= N. Find the maximum repeating number in this array. If there are two or more maximum repeating numbers print the element having least value.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Professor and Parties,"A professor went to a party. Being an erudite person, he classified the party into two categories. He proposed that if all the persons in the party are wearing different colored robes, then that is a girl’s only party. If we even get one duplicate color, it must be a boy’s party. The colors of the robes are represented by positive integers.
Input
The first line of each test case contains an integer T, denoting the no of test cases. Then T test cases follow. The first line of each test case contains an integer N denoting the number of people in the party. In the next line are N space separated values of Ai denoting the color of the robes.
Output
For each test case, print “BOYS” without quotes if it’s a boy’s party, else print “GIRLS”.
Constraints
1 <= T <= 100
1 <= N <= 107
1 <= Ai <= 1018
Example
Input
2
5
1 2 3 4 7
6
1 3 2 4 5 1
Output
GIRLS
BOYS
Explanation:
In the first testcase, all the colors are unique so it's a GIRLS party.
In the second testcase, there are two colors 1. So it's a BOYS party.
** For More Input/Output Examples Use 'Expected Output' option **","A professor went to a party. Being an erudite person, he classified the party into two categories. He proposed that if all the persons in the party are wearing different colored robes, then that is a girl’s only party. If we even get one duplicate color, it must be a boy’s party. The colors of the robes are represented by positive integers.
Input
The first line of each test case contains an integer T, denoting the no of test cases. Then T test cases follow. The first line of each test case contains an integer N denoting the number of people in the party. In the next line are N space separated values of Ai denoting the color of the robes.
Output
For each test case, print “BOYS” without quotes if it’s a boy’s party, else print “GIRLS”.
Constraints
1 <= T <= 100
1 <= N <= 107
1 <= Ai <= 1018
Example
Input
2
5
1 2 3 4 7
6
1 3 2 4 5 1
Output
GIRLS
BOYS
Explanation:
In the first testcase, all the colors are unique so it's a GIRLS party.
In the second testcase, there are two colors 1. So it's a BOYS party.
** For More Input/Output Examples Use 'Expected Output' option **","Professor and Parties A professor went to a party. Being an erudite person, he classified the party into two categories. He proposed that if all the persons in the party are wearing different colored robes, then that is a girl’s only party. If we even get one duplicate color, it must be a boy’s party. The colors of the robes are represented by positive integers.
Input
The first line of each test case contains an integer T, denoting the no of test cases. Then T test cases follow. The first line of each test case contains an integer N denoting the number of people in the party. In the next line are N space separated values of Ai denoting the color of the robes.
Output
For each test case, print “BOYS” without quotes if it’s a boy’s party, else print “GIRLS”.
Constraints
1 <= T <= 100
1 <= N <= 107
1 <= Ai <= 1018
Example
Input
2
5
1 2 3 4 7
6
1 3 2 4 5 1
Output
GIRLS
BOYS
Explanation:
In the first testcase, all the colors are unique so it's a GIRLS party.
In the second testcase, there are two colors 1. So it's a BOYS party.
** For More Input/Output Examples Use 'Expected Output' option **",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Maximize âˆ‘arr[i]*i of an Array,"Given an array A of N integers. Your task is to write a program to find the maximum value of ∑arr[i]*i, where i = 0, 1, 2,…., n – 1.
You are allowed to rearrange the elements of the array.
Note: Since output could be large, hence module 109+7 and then print answer.
","Example:
Input:
2
5
5 3 2 4 1
3
1 2 3
Output:
40
8
Explanation:
Testcase1: If we arrange the array as 1 2 3 4 5 then we can see that the minimum index will multiply with minimum number and maximum index will multiply with maximum number. So 1*0+2*1+3*2+4*3+5*4=0+2+6+12+20 =40 mod(109+7) = 40
","Maximize âˆ‘arr[i]*i of an Array Given an array A of N integers. Your task is to write a program to find the maximum value of ∑arr[i]*i, where i = 0, 1, 2,…., n – 1.
You are allowed to rearrange the elements of the array.
Note: Since output could be large, hence module 109+7 and then print answer.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Split the Array,"Given an array A of n integers, the task is to count the number of ways to split given array elements into two disjoint groups such that XOR of elements of each group is equal.
","Example:
Input:
2
3
1 2 3
4
5 2 3 2
Output:
3
0
Explanation:
Testcase 1: {(1), (2, 3)}, {(2), (1, 3)}, {(3), (1, 2)}  are three ways with equal XOR value of two
groups.
Testcase 2: Not possible
","Split the Array Given an array A of n integers, the task is to count the number of ways to split given array elements into two disjoint groups such that XOR of elements of each group is equal.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reverse sub array,"Provided an array of N integers, you need to reverse a subarray of that array. The range of this subarray is given by L and R.
","Example:
Input:
1
7
1 2 3 4 5 6 7
2 4
Output:
1 4 3 2 5 6 7
Explanation:
Testcase 1: After reversing the elements in range 2 to 4 (2, 3, 4), modified array is 1, 4, 3, 2, 5, 6, 7.
","Reverse sub array Provided an array of N integers, you need to reverse a subarray of that array. The range of this subarray is given by L and R.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Minimum product pair,"Given an array of positive integers. The task is to print the minimum product of any two numbers of the given array.
","Example:
Input:
2
4
2 7 3 4
4
5 3 6 4
Output:
6
12
","Minimum product pair Given an array of positive integers. The task is to print the minimum product of any two numbers of the given array.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reverse array in groups,"Given an array arr[] of positive integers of size N. Reverse every sub-array of K group elements.
","Example:
Input
1
5 3
1 2 3 4 5
Output
3 2 1 5 4
Explanation:
Testcase 1: Reversing groups in size 3, first group consists of elements 1, 2, 3. Reversing this group, we have elements in order as 3, 2, 1.
  ","Reverse array in groups Given an array arr[] of positive integers of size N. Reverse every sub-array of K group elements.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Max sum submatrix,"Given a matrix, your aim is to find the maximum sum among all axb sub matrices of the matrix. The rows and columns of the submatrix must be contiguous. For example:
1 2 3 9
4 5 6 2
8 3 2 6
Let us solve for a = 3 and b = 2.
The first 3x2 submatrix is:
1 2
4 5
8 3
The sum of elements in this is 23.
The second 3x2 submatrix is:
2 3
5 6
3 2
The sum of elements in this is 21.
The third 3x2 submatrix is:
3 9
6 2
2 6
The sum of elements in this is 28.
The maximum among these is 28.
  ","Example:
Input
1
3 4
1 2 3 9 4 5 6 2 8 3 2 6
3
1 1 2 2 3 3

Output
9 20 38
  ","Max sum submatrix Given a matrix, your aim is to find the maximum sum among all axb sub matrices of the matrix. The rows and columns of the submatrix must be contiguous. For example:
1 2 3 9
4 5 6 2
8 3 2 6
Let us solve for a = 3 and b = 2.
The first 3x2 submatrix is:
1 2
4 5
8 3
The sum of elements in this is 23.
The second 3x2 submatrix is:
2 3
5 6
3 2
The sum of elements in this is 21.
The third 3x2 submatrix is:
3 9
6 2
2 6
The sum of elements in this is 28.
The maximum among these is 28.
  ",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Rearranging array,"Given a list of integers, rearrange the list such that it consists of alternating minimum maximum elements using only list operations. The first element of the list should be minimum and second element should be maximum of all elements present in the list. Similarly, third element will be next minimum element and fourth element is next maximum element and so on. Use of extra space is not permitted
","Example:
Input
2
5
4 5 1 2 3
4
1 2 3 4
Output
1 5 2 4 3
1 4 2 3
","Rearranging array Given a list of integers, rearrange the list such that it consists of alternating minimum maximum elements using only list operations. The first element of the list should be minimum and second element should be maximum of all elements present in the list. Similarly, third element will be next minimum element and fourth element is next maximum element and so on. Use of extra space is not permitted
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sort by Set Bit Count,"Given an array of integers, sort the array (in descending order) according to count of set bits in binary representation of array elements. 
For integers having same number of set bits in their binary representation, sort according to their position in the original array i.e., a stable sort. For example, if input array is {3, 5}, then output array should also be {3, 5}. Note that both 3 and 5 have same number set bits.
","Example:
Input:
2
3
3 1 5
4
5 16 6 15
Output:
3 5 1
15 5 6 16
","Sort by Set Bit Count Given an array of integers, sort the array (in descending order) according to count of set bits in binary representation of array elements. 
For integers having same number of set bits in their binary representation, sort according to their position in the original array i.e., a stable sort. For example, if input array is {3, 5}, then output array should also be {3, 5}. Note that both 3 and 5 have same number set bits.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Delete array elements which are smaller than next or become smaller,"Given an array arr[] and a number k. The task is to delete k elements which are smaller than next element (i.e., we delete arr[i] if arr[i] < arr[i+1]) or become smaller than next because next element is deleted.
","Example:
Input
4
3
3 100 1
1
5
20 10 25 30 40
2
5
23 45 11 77 18
3
2
2 5
2
Output
100 1
25 30 40
77 18
5
Explanation:
1. arr[0] < arr[1] means 3 is less than 100, so delete 3.
2. First we delete 10 because it follows arr[i] < arr[i+1]. Then we delete 20 because 25 is moved next to it and it also starts following the condition.
3. We delete 23, 45 and 11 as they follow the condition arr[i] < arr[i+1].
4.  As after deleting 2, we are left with 5 only and hence 5 is the answer.
","Delete array elements which are smaller than next or become smaller Given an array arr[] and a number k. The task is to delete k elements which are smaller than next element (i.e., we delete arr[i] if arr[i] < arr[i+1]) or become smaller than next because next element is deleted.
",,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Max absolute difference,"Given an array of integers, find two non-overlapping contiguous sub-arrays such that the absolute difference between the sum of two sub-arrays is maximum.
For example,
","Example:
Input:
2
7
2 -1 -2 1 -4 2 8
8
-2 -3 4 -1 -2 1 5 -3
Output:
16
12
","Max absolute difference Given an array of integers, find two non-overlapping contiguous sub-arrays such that the absolute difference between the sum of two sub-arrays is maximum.
For example,
",,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Smallest Positive missing number,"You are given an array arr[] of N integers including 0. The task is to find the smallest positive number missing from the array.
Note: Expected solution in O(n) time using constant extra space.
","Example:
Input:
2
5
1 2 3 4 5
5
0 -10 1 3 -20
Output:
6
2
Explanation:
Testcase 1: Smallest positive missing number is 6.
Testcase 2: Smallest positive missing number is 2.
  ","Smallest Positive missing number You are given an array arr[] of N integers including 0. The task is to find the smallest positive number missing from the array.
Note: Expected solution in O(n) time using constant extra space.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Need Some Change - Java,"Now, as you're familiar with operating on arrays, let's do an intricate task. Here, we'll do swapping of array elements.
Given an array A of N positive integers. The task is to swap every ith element of the array with (i+2)th element.
Input Format:
First line of input contains number of testcase T. For each testcase, there will be two lines, first of which contains size of array N and next line contains N space seperated positive integers.
Output Format:
For each testcase, print the modified array.
Constraints:
1 <= T <= 100
3 <= N <= 106
1 <= Ai <= 106
User Task:
Your task is to complete the function swapElements(), which should swap each ith element with (i+2)th element.
Example:
","Example:
Input:
1
5
1 2 3 4 5
Output:
3 4 5 2 1
Explanation:
Testcase 1: Swapping 1 and 3, makes the array 3 2 1 4 5. Now, swapping 2 and 4, makes the array 3 4 1 2 5. Again, swapping 1 and 5, makes the array 3 4 5 2 1.
","Need Some Change - Java Now, as you're familiar with operating on arrays, let's do an intricate task. Here, we'll do swapping of array elements.
Given an array A of N positive integers. The task is to swap every ith element of the array with (i+2)th element.
Input Format:
First line of input contains number of testcase T. For each testcase, there will be two lines, first of which contains size of array N and next line contains N space seperated positive integers.
Output Format:
For each testcase, print the modified array.
Constraints:
1 <= T <= 100
3 <= N <= 106
1 <= Ai <= 106
User Task:
Your task is to complete the function swapElements(), which should swap each ith element with (i+2)th element.
Example:
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sum of two numbers represented as arrays,"Given two numbers represented by two different arrays A and B. The task is to find the sum array. The sum array is an array representation of addition of two input arrays.
","Example:
Input:
2
3 3
5 6 3
8 4 2
6 4
2 2 7 5 3 3
4 3 3 8 
Output:
1 4 0 5
2 3 1 8 7 1
Explanation:
Testcase 2: Sum of each elements of both arrays A and B gives an array equals 2, 3, 1, 8, 7, 1.
","Sum of two numbers represented as arrays Given two numbers represented by two different arrays A and B. The task is to find the sum array. The sum array is an array representation of addition of two input arrays.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Longest Consecutive Subsequence,"Given an array A of integers. The task is to complete the function which returns an integer denoting the length of the longest sub-sequence such that elements in the sub-sequence are consecutive integers, the consecutive numbers can be in any order.
","Given an array A of integers. The task is to complete the function which returns an integer denoting the length of the longest sub-sequence such that elements in the sub-sequence are consecutive integers, the consecutive numbers can be in any order.
Input:
The first line of input contains an integer T denoting the no of test cases. Then T test cases follow. Each test case contains an integer N. Then in the next line are N space separated values of the array A.
Output:
For each test case in a new line output will be the length of the longest consecutive increasing sub-sequence present in the array A[ ].
Constraints:
1 <= T <= 100
1 <= N <= 106
1 <= Ai <= 108
Example(To be used only for expected output):
Input:
2
7
1 9 3 10 4 20 2
11
36 41 56 35 44 33 34 92 43 32 42
Output:
4
5
Explanation:
Testcase 1: Logest consecutive subsequence is 1, 2, 3, 4 of length 4.

Note:The Input/Ouput format and Example given are used for system's internal purpose, and should be used by a user for Expected Output only. As it is a function problem, hence a user should not read any input from stdin/console. The task is to complete the function specified, and not to write the full code.
** For More Input/Output Examples Use 'Expected Output' option **","Longest Consecutive Subsequence Given an array A of integers. The task is to complete the function which returns an integer denoting the length of the longest sub-sequence such that elements in the sub-sequence are consecutive integers, the consecutive numbers can be in any order.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mean of range in array,"Given an array of n integers and q queries. Write a program to print floor value of mean in range l to r for each query in a new line.
Examples:
Input : arr[] = {1, 2, 3, 4, 5}
        q = 3
        0 2
        1 3
        0 4
Output : 2
         3
         3
Here for 0 to 2 (1 + 2 + 3) / 3 = 2

Input : arr[] = {6, 7, 8, 10}
        q = 2
        0 3
        1 2
Output : 7
         7
","Example:
Input:
1
5 3
1 2 3 4 5
0 2 1 3 0 4
Output:
2 3 3
","Mean of range in array Given an array of n integers and q queries. Write a program to print floor value of mean in range l to r for each query in a new line.
Examples:
Input : arr[] = {1, 2, 3, 4, 5}
        q = 3
        0 2
        1 3
        0 4
Output : 2
         3
         3
Here for 0 to 2 (1 + 2 + 3) / 3 = 2

Input : arr[] = {6, 7, 8, 10}
        q = 2
        0 3
        1 2
Output : 7
         7
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lucky Ishaan,"Ishaan has bought N lottery tickets each having an ID denoted by an array A. As the result comes out, Ishaan gets very lucky and gets to know that each one of his tickets has won some prize. But unfortunately, he can't claim all of his lottery tickets.
The ""sum_id"" of a lottery ticket is the sum of the individual digits of the ticket ID. For example, sum_id of a ticket with ID = 1234 is 1+2+3+4 = 10.
Ishaan can claim the prize of a ticket only if no other ticket with the same sum_id has been claimed by him yet (Refer example for explanation).
Find out the maximum number of tickets he can claim.
Input : 
First line of input contains a single integer T denoting the number of test cases.
The first line of each test case contains an integer N.
The second line contains N space-separated integers denoting the array A.
Output : 
For each test case, print the required answer in a new line.
Constraints : 
1 <= T <= 100
1 <= N <= 5000
1 <= A[i] <= 10^15
Example : 
Input : 
3
5
123 42 45 78 12345
6
2 3 4 6 22 8
4
45 333 1323 9
Output : 
3
5
1
Explanation : 
Case 1 : 
sum_id of Ticket 1 : 1+2+3 = 6 (claimed)
sum_id of Ticket 2 : 4+2 = 6 (can't be claimed since Ticket 1 with same sum_id has already been claimed)
sum_id of Ticket 3 : 4+5 = 9 (claimed)
sum_id of Ticket 4 : 7+8 = 15 (claimed)
sum_id of Ticket 5 : 1+2+3+4+5 = 15 (can't be claimed since Ticket 4 with same sum_id has already been claimed)
Case 2 : 
sum_id of Ticket 1 : 2 (claimed)
sum_id of Ticket 2 : 3 (claimed)
sum_id of Ticket 3 : 4 (claimed)
sum_id of Ticket 4 : 6 (claimed)
sum_id of Ticket 5 : 2+2 = 4 (can't be claimed since Ticket 3 with same sum_id has already been claimed)
sum_id of Ticket 4 : 8 (claimed)
  ** For More Input/Output Examples Use 'Expected Output' option **","Ishaan has bought N lottery tickets each having an ID denoted by an array A. As the result comes out, Ishaan gets very lucky and gets to know that each one of his tickets has won some prize. But unfortunately, he can't claim all of his lottery tickets.
The ""sum_id"" of a lottery ticket is the sum of the individual digits of the ticket ID. For example, sum_id of a ticket with ID = 1234 is 1+2+3+4 = 10.
Ishaan can claim the prize of a ticket only if no other ticket with the same sum_id has been claimed by him yet (Refer example for explanation).
Find out the maximum number of tickets he can claim.
Input : 
First line of input contains a single integer T denoting the number of test cases.
The first line of each test case contains an integer N.
The second line contains N space-separated integers denoting the array A.
Output : 
For each test case, print the required answer in a new line.
Constraints : 
1 <= T <= 100
1 <= N <= 5000
1 <= A[i] <= 10^15
Example : 
Input : 
3
5
123 42 45 78 12345
6
2 3 4 6 22 8
4
45 333 1323 9
Output : 
3
5
1
Explanation : 
Case 1 : 
sum_id of Ticket 1 : 1+2+3 = 6 (claimed)
sum_id of Ticket 2 : 4+2 = 6 (can't be claimed since Ticket 1 with same sum_id has already been claimed)
sum_id of Ticket 3 : 4+5 = 9 (claimed)
sum_id of Ticket 4 : 7+8 = 15 (claimed)
sum_id of Ticket 5 : 1+2+3+4+5 = 15 (can't be claimed since Ticket 4 with same sum_id has already been claimed)
Case 2 : 
sum_id of Ticket 1 : 2 (claimed)
sum_id of Ticket 2 : 3 (claimed)
sum_id of Ticket 3 : 4 (claimed)
sum_id of Ticket 4 : 6 (claimed)
sum_id of Ticket 5 : 2+2 = 4 (can't be claimed since Ticket 3 with same sum_id has already been claimed)
sum_id of Ticket 4 : 8 (claimed)
  ** For More Input/Output Examples Use 'Expected Output' option **","Lucky Ishaan Ishaan has bought N lottery tickets each having an ID denoted by an array A. As the result comes out, Ishaan gets very lucky and gets to know that each one of his tickets has won some prize. But unfortunately, he can't claim all of his lottery tickets.
The ""sum_id"" of a lottery ticket is the sum of the individual digits of the ticket ID. For example, sum_id of a ticket with ID = 1234 is 1+2+3+4 = 10.
Ishaan can claim the prize of a ticket only if no other ticket with the same sum_id has been claimed by him yet (Refer example for explanation).
Find out the maximum number of tickets he can claim.
Input : 
First line of input contains a single integer T denoting the number of test cases.
The first line of each test case contains an integer N.
The second line contains N space-separated integers denoting the array A.
Output : 
For each test case, print the required answer in a new line.
Constraints : 
1 <= T <= 100
1 <= N <= 5000
1 <= A[i] <= 10^15
Example : 
Input : 
3
5
123 42 45 78 12345
6
2 3 4 6 22 8
4
45 333 1323 9
Output : 
3
5
1
Explanation : 
Case 1 : 
sum_id of Ticket 1 : 1+2+3 = 6 (claimed)
sum_id of Ticket 2 : 4+2 = 6 (can't be claimed since Ticket 1 with same sum_id has already been claimed)
sum_id of Ticket 3 : 4+5 = 9 (claimed)
sum_id of Ticket 4 : 7+8 = 15 (claimed)
sum_id of Ticket 5 : 1+2+3+4+5 = 15 (can't be claimed since Ticket 4 with same sum_id has already been claimed)
Case 2 : 
sum_id of Ticket 1 : 2 (claimed)
sum_id of Ticket 2 : 3 (claimed)
sum_id of Ticket 3 : 4 (claimed)
sum_id of Ticket 4 : 6 (claimed)
sum_id of Ticket 5 : 2+2 = 4 (can't be claimed since Ticket 3 with same sum_id has already been claimed)
sum_id of Ticket 4 : 8 (claimed)
  ** For More Input/Output Examples Use 'Expected Output' option **",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sorted subsequence of size 3,"Given an array A of N integers, Your task is to complete the function find3Numbers which finds any 3 elements in it such that A[i] < A[j] < A[k] and i < j < k. You need to return them as a vector, if no such element is present then return the empty vector of size 0.

","Example:
Input:
2
5
1 2 1 1 3
3
1 1 3
Output:
1
0

Explanation:
There are 2 test cases
For first test case
a sub-sequence 1 2 3 exist 
For second test case
no such sub-sequence exist

Note:The Input/Ouput format and Example given are used for system's internal purpose, and should be used by a user for Expected Output only. As it is a function problem, hence a user should not read any input from stdin/console. The task is to complete the function specified, and not to write the full code.
","Sorted subsequence of size 3 Given an array A of N integers, Your task is to complete the function find3Numbers which finds any 3 elements in it such that A[i] < A[j] < A[k] and i < j < k. You need to return them as a vector, if no such element is present then return the empty vector of size 0.

",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Array of alternate +ve and -ve no.s,"Given an unsorted array of positive and negative numbers. Your task is to create an array of alternate positive and negative numbers without changing the relative order of positive and negative numbers.
","Example:
Input:
1
9
9 4 -2 -1 5 0 -5 -3 2
Output:
9 -2 4 -1 5 -5 0 -3 2

  ","Array of alternate +ve and -ve no.s Given an unsorted array of positive and negative numbers. Your task is to create an array of alternate positive and negative numbers without changing the relative order of positive and negative numbers.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
First element to occur k times,"Given an array of N integers. The task is to find the first element that occurs K number of times. If no element occurs K times the print -1.
","Example:
Input :
1
7 2
1 7 4 3 4 8 7
Output :
7
Explanation:
Both 7 and 4 occur 2 times. But 7 is the first that occurs 2 times.
","First element to occur k times Given an array of N integers. The task is to find the first element that occurs K number of times. If no element occurs K times the print -1.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Length Unsorted Subarray,"Given an unsorted array A of size N. Find the subarray A[s..e] such that sorting this subarray makes the whole array sorted.
","Example:
Input:
2
11
10 12 20 30 25 40 32 31 35 50 60
9
0 1 15 25 6 7 30 40 50
Output:
3 8
2 5
Explanation:
Testcase 1: Subarray starting from index 3 and ending at index 8 is required subarray.
","Length Unsorted Subarray Given an unsorted array A of size N. Find the subarray A[s..e] such that sorting this subarray makes the whole array sorted.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Word with maximum frequency,"You are given a string that is made up of words separated by spaces. Your task is to find the word with highest frequency, i.e. it appears maximum times in the sentence. If multiple words have maximum frequency, then print the word that occurs first in the sentence.
","Example:
Input:
5
the devil in the sky
amazon is amazon geeks for geeks is geeks for geeks
this is not right
excels
the phenomenal one
Output:
the 2
geeks 4
this 1
excels 1
the 1
Explanation:
For testcase 1: The frequency of the is 2, so we print the and its frequency
For testcase 3: Every word has the frequency of 1, so we print this 1 as this occurs first in the sentence
  ","Word with maximum frequency You are given a string that is made up of words separated by spaces. Your task is to find the word with highest frequency, i.e. it appears maximum times in the sentence. If multiple words have maximum frequency, then print the word that occurs first in the sentence.
",,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Two numbers with sum closest to zero,"Given an integer array A of N elements. You need to find the sum of two elements such that sum is closest to zero.
","Example:
Input:
3
3
-8 -66 -60  
6
-21 -67 -37 -18 4 -65  
2
-24 -73
Output:
-68
-14
-97
Explanation:
Testcase 1: Sum of two elements closest to zero is -68 using numbers -60 and -8.
","Two numbers with sum closest to zero Given an integer array A of N elements. You need to find the sum of two elements such that sum is closest to zero.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Type of array,"You are given an array of size N having no duplicate elements. The array can be categorized into following:
1.  Ascending
2.  Descending
3.  Descending Rotated
4.  Ascending Rotated
Your task is to print which type of array it is and the maximum element of that array.
","Example:
Input:
2
5
2 1 5 4 3
5
3 4 5 1 2

Output:
5 3
5 4
Explanation:
Testcase1:
Input : A[] = { 2, 1, 5, 4, 3}
Output : Descending rotated with maximum element 5
Testcase2:
Input : A[] = { 3, 4, 5, 1, 2}
Output : Ascending rotated with maximum element 5
","Type of array You are given an array of size N having no duplicate elements. The array can be categorized into following:
1.  Ascending
2.  Descending
3.  Descending Rotated
4.  Ascending Rotated
Your task is to print which type of array it is and the maximum element of that array.
",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
